,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2014-11-21 12:27:00,T0450A,T0451A,T0458,T0453,T0459,T0460,T0451,X0451B,X0451A,X0451F,T0452A,X0451C,X0451E,P0455,X0451D
2014-11-21 12:28:00,T0450A,T0451A,T0458,T0453,T0459,T0460,T0451,X0451B,X0451A,X0451F,T0452A,X0451C,X0451E,P0455,X0451D
2014-11-21 12:29:00,T0450A,T0451,T0460,T0451A,T0453,T0458,T0459,X0451A,X0451B,X0451C,X0451F,T0452A,X0451E,P0455,X0451D
2014-11-21 12:30:00,T0450A,T0451,T0460,T0451A,T0453,T0458,T0459,X0451A,X0451B,X0451C,X0451F,T0452A,X0451E,P0455,X0451D
2014-11-21 12:31:00,T0450A,T0451,T0460,T0451A,T0453,T0458,T0459,X0451A,X0451B,T0452A,X0451C,X0451F,X0451E,P0455,X0451D
2014-11-21 12:32:00,T0450A,T0451,T0460,T0453,T0458,X0451A,T0451A,T0459,X0451B,P0455,X0451C,T0452A,X0451E,X0451F,X0451D
2014-11-21 12:33:00,T0450A,T0451,T0460,T0453,T0458,X0451A,T0451A,T0459,X0451B,P0455,X0451C,T0452A,X0451E,X0451F,X0451D
2014-11-21 12:34:00,T0450A,T0451,T0451A,T0460,T0453,X0451A,T0458,X0451B,X0451F,X0451C,T0459,X0451E,X0451D,T0452A,P0455
2014-11-21 12:35:00,T0450A,T0451,T0460,T0453,T0458,T0459,X0451A,X0451B,T0451A,P0455,T0452A,X0451C,X0451E,X0451D,X0451F
2014-11-21 12:36:00,T0450A,T0451,T0460,T0453,T0458,T0459,X0451A,X0451B,T0451A,P0455,T0452A,X0451C,X0451E,X0451D,X0451F
2014-11-21 12:37:00,T0450A,T0451A,T0451,T0460,T0453,T0458,X0451A,T0459,X0451B,X0451F,X0451C,X0451E,X0451D,T0452A,P0455
2014-11-21 12:38:00,T0450A,T0451A,T0451,T0460,T0453,T0458,X0451A,T0459,X0451B,X0451F,X0451C,X0451E,X0451D,T0452A,P0455
2014-11-21 12:39:00,T0450A,T0451A,T0451,T0460,T0453,T0458,X0451A,T0459,X0451B,X0451F,X0451C,X0451E,X0451D,T0452A,P0455
2014-11-21 12:40:00,T0450A,T0451,T0460,T0453,T0458,T0459,T0451A,X0451A,X0451B,T0452A,P0455,X0451C,X0451E,X0451F,X0451D
